Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,9.600,9.720,9.160,9.190,243860,,,,,,,
2022-09-30,9.020,9.240,8.410,8.610,331109,,,0.830,,,,
2022-10-03,8.260,8.490,8.180,8.180,265868,,,0.430,,,,
2022-10-04,7.990,8.030,7.690,7.980,429414,,,0.490,,,,
2022-10-05,8.210,8.410,8.100,8.100,266472,,,0.430,,,,
2022-10-06,8.120,8.180,7.730,7.750,276241,,,0.450,,,,
2022-10-07,8.040,8.490,7.930,8.490,357751,,,0.740,,,,
2022-10-11,8.590,8.870,8.450,8.870,234187,,,0.420,,,,
2022-10-12,8.890,8.980,8.580,8.685,161839,,,0.400,,,#DIV/0!,
2022-10-13,9.110,9.710,8.930,8.970,344379,,,1.025,,,#DIV/0!,
2022-10-14,9.120,9.570,9.100,9.530,161284,,,0.600,,,#DIV/0!,
2022-10-17,9.110,9.350,8.930,9.230,189838,,,0.600,,,#DIV/0!,
2022-10-18,9.060,9.250,8.960,9.100,191409,,,0.290,,,#DIV/0!,
2022-10-19,9.400,9.570,9.320,9.485,199122,,,0.470,0.552,0.058,#DIV/0!,
2022-10-20,9.420,9.630,9.020,9.360,273331,,,0.610,0.556,0.059,#DIV/0!,
2022-10-21,9.390,9.390,8.710,8.720,298750,,,0.680,0.545,0.063,#DIV/0!,
2022-10-24,8.810,9.060,8.770,8.810,171212,,,0.340,0.539,0.061,#DIV/0!,
2022-10-25,8.800,8.820,8.560,8.680,105411,,,0.260,0.522,0.060,#DIV/0!,
2022-10-26,8.490,8.500,8.030,8.190,437171,,,0.650,0.538,0.066,#DIV/0!,
2022-10-27,8.200,8.370,8.100,8.370,192227,8.715,,0.270,0.525,0.063,#DIV/0!,
2022-10-28,8.600,8.650,8.390,8.410,232082,8.676,,0.280,0.492,0.059,#DIV/0!,
2022-10-31,8.600,8.675,8.420,8.660,105808,8.679,,0.265,0.481,0.056,#DIV/0!,
2022-11-01,8.380,8.590,8.200,8.320,108447,8.685,,0.460,0.486,0.058,#DIV/0!,
2022-11-02,8.260,9.240,8.200,9.240,306597,8.748,,1.040,0.487,0.053,#DIV/0!,
2022-11-03,9.350,9.890,9.340,9.830,308123,8.835,,0.650,0.490,0.050,#DIV/0!,
2022-11-04,9.120,9.310,8.560,8.560,515399,8.875,,1.270,0.538,0.063,0.000,0.019
2022-11-07,8.510,8.810,8.420,8.480,166154,8.875,,0.390,0.545,0.064,-0.023,-0.027
2022-11-08,8.580,8.580,7.330,7.540,643034,8.808,,1.250,0.601,0.080,-0.053,-0.084
2022-11-09,7.580,7.850,7.450,7.820,275648,8.765,,0.400,0.586,0.075,-0.092,-0.152
2022-11-10,7.230,7.440,6.900,6.980,578415,8.666,,0.920,0.603,0.086,-0.156,-0.256
2022-11-11,6.900,7.090,6.860,6.870,470375,8.533,,0.230,0.595,0.087,-0.182,-0.318
2022-11-14,6.920,7.040,6.840,6.940,282451,8.418,,0.200,0.591,0.085,-0.232,-0.406
2022-11-15,6.910,7.230,6.790,7.110,455757,8.319,,0.440,0.576,0.081,-0.251,-0.462
2022-11-16,7.210,7.230,7.040,7.210,269561,8.205,,0.190,0.570,0.079,-0.274,-0.519
2022-11-17,7.520,7.560,7.390,7.440,375000,8.109,,0.350,0.575,0.077,-0.237,-0.544
2022-11-18,7.400,7.460,7.200,7.200,256314,8.033,,0.260,0.575,0.080,-0.270,-0.646
2022-11-21,7.290,7.460,7.230,7.280,196202,7.956,,0.260,0.561,0.077,-0.319,-0.772
2022-11-22,7.120,7.180,6.730,6.740,297558,7.859,,0.550,0.526,0.078,-0.300,-0.828
2022-11-23,6.660,6.860,6.560,6.580,218188,7.779,,0.300,0.501,0.076,-0.291,-0.889
2022-11-24,6.500,6.590,6.480,6.510,67411,7.686,,0.110,0.418,0.064,-0.202,-0.861
2022-11-25,6.560,6.690,6.560,6.675,159515,7.599,,0.180,0.403,0.060,-0.145,-0.853
2022-11-28,6.810,7.070,6.620,7.050,233576,7.519,,0.450,0.346,0.049,-0.039,-0.783
2022-11-29,6.940,6.940,6.530,6.590,316849,7.432,,0.520,0.354,0.054,0.046,-0.721
2022-11-30,6.440,6.590,6.250,6.360,413633,7.288,,0.340,0.313,0.049,0.102,-0.680
2022-12-01,6.120,6.120,5.840,5.910,646421,7.092,,0.520,0.334,0.056,0.094,-0.692
2022-12-02,6.030,6.200,5.900,5.950,432665,6.962,,0.300,0.341,0.057,0.075,-0.704
2022-12-05,6.000,6.220,6.000,6.180,584445,6.847,,0.270,0.329,0.053,0.044,-0.723
2022-12-06,6.100,6.200,5.930,6.200,278765,6.780,,0.270,0.334,0.054,0.036,-0.712
2022-12-07,6.090,6.090,5.850,5.940,242680,6.686,,0.350,0.334,0.056,0.001,-0.732
2022-12-08,5.900,6.010,5.830,5.990,230400,6.636,7.817,0.180,0.329,0.055,0.043,-0.670
2022-12-09,5.840,6.120,5.770,6.110,322191,6.598,7.756,0.350,0.335,0.055,0.123,-0.566
2022-12-12,6.170,6.290,6.080,6.090,227848,6.556,7.705,0.210,0.311,0.051,0.159,-0.506
2022-12-13,5.740,5.970,5.620,5.790,362821,6.490,7.657,0.470,0.323,0.056,0.166,-0.476
2022-12-14,5.790,6.010,5.740,5.850,370848,6.422,7.615,0.270,0.334,0.057,0.111,-0.511
2022-12-15,6.050,6.280,6.050,6.270,332610,6.363,7.578,0.430,0.352,0.056,0.119,-0.478
2022-12-16,6.280,6.480,6.150,6.250,225167,6.316,7.548,0.330,0.344,0.055,0.109,-0.459
2022-12-19,6.230,6.530,6.230,6.500,260803,6.277,7.508,0.300,0.328,0.050,0.137,-0.396
2022-12-20,6.260,6.290,5.950,6.020,293281,6.241,7.451,0.550,0.343,0.057,0.136,-0.354
2022-12-21,6.060,6.060,5.830,5.930,215964,6.208,7.396,0.230,0.322,0.054,0.123,-0.330
2022-12-22,6.070,6.160,5.950,5.980,332360,6.182,7.337,0.230,0.317,0.053,0.122,-0.301
2022-12-23,5.920,6.130,5.820,5.925,306592,6.144,7.264,0.310,0.320,0.054,0.150,-0.244
2022-12-28,5.940,6.020,5.820,5.980,264931,6.091,7.199,0.200,0.315,0.053,0.166,-0.198
2022-12-29,5.870,6.030,5.850,6.020,197625,6.062,7.138,0.180,0.303,0.050,0.167,-0.157
2022-12-30,6.000,6.160,5.990,6.090,175673,6.049,7.070,0.170,0.302,0.050,0.154,-0.132
2023-01-03,5.830,5.830,5.490,5.620,375185,6.034,6.995,0.600,0.320,0.057,0.138,-0.109
2023-01-04,5.450,5.530,5.210,5.270,583990,6.000,6.926,0.410,0.334,0.063,0.105,-0.110
2023-01-05,5.430,5.500,5.305,5.305,327683,5.956,6.856,0.230,0.317,0.060,0.053,-0.137
2023-01-06,5.250,5.360,5.120,5.270,387019,5.910,6.788,0.240,0.315,0.060,0.020,-0.151
2023-01-09,5.330,5.880,5.090,5.855,574467,5.906,6.741,0.790,0.341,0.058,-0.019,-0.176
2023-01-10,5.890,5.890,5.580,5.660,246826,5.889,6.687,0.310,0.339,0.060,-0.029,-0.179
2023-01-11,5.570,5.800,5.570,5.700,370479,5.869,6.633,0.230,0.334,0.059,-0.041,-0.190
2023-01-12,5.500,5.710,5.500,5.580,228253,5.843,6.571,0.210,0.310,0.056,-0.055,-0.209
2023-01-13,5.480,5.550,5.370,5.450,350012,5.826,6.514,0.210,0.309,0.057,-0.056,-0.221
2023-01-16,5.420,5.520,5.420,5.495,51225,5.808,6.439,0.100,0.299,0.054,-0.056,-0.234
2023-01-17,5.530,5.855,5.530,5.810,365295,5.785,6.358,0.360,0.303,0.052,-0.053,-0.247
2023-01-18,5.660,5.820,5.620,5.820,268684,5.764,6.304,0.200,0.303,0.052,-0.055,-0.263
2023-01-19,5.770,5.840,5.570,5.600,275970,5.719,6.246,0.270,0.309,0.055,-0.026,-0.245
2023-01-20,5.710,5.720,5.530,5.530,235740,5.694,6.206,0.190,0.311,0.056,0.020,-0.202
2023-01-23,5.690,5.730,5.520,5.520,238641,5.674,6.160,0.210,0.283,0.051,0.047,-0.173
2023-01-24,5.520,5.640,5.375,5.380,217916,5.644,6.128,0.265,0.273,0.051,0.070,-0.146
2023-01-25,5.440,5.480,5.180,5.200,304610,5.608,6.094,0.300,0.278,0.053,0.051,-0.159
